"","county","total_cases","total_cases_perc","total_deaths","total_deaths_perc","population"
"1","Baker",3231,0.200384519970231,48,0.00297692880178616,16124
"2","Benton",16301,0.175179736279325,71,0.000763006028822284,93053
"3","Clackamas",63827,0.152627891350042,632,0.001511285621026,418187
"4","Clatsop",4810,0.119580350039777,50,0.00124303898170247,40224
"5","Columbia",7987,0.152557588722925,95,0.00181457004240364,52354
"6","Coos",10849,0.168235458309427,153,0.00237257121590398,64487
"7","Crook",6158,0.252335682674971,79,0.00323717423373217,24404
"8","Curry",3385,0.147655398037077,54,0.00235550708833152,22925
"9","Deschutes",47906,0.242326447200696,286,0.00144669485866904,197692
"10","Douglas",20020,0.180392863579023,396,0.00356821048837628,110980
"11","Gilliam",284,0.148535564853556,5,0.00261506276150628,1912
"12","Grant",1704,0.236699541603,21,0.00291707181552993,7199
"13","Harney",1617,0.218720411199784,38,0.00513999729473827,7393
"14","Hood River",3698,0.158155846377555,44,0.00188178941065777,23382
"15","Jackson",43552,0.197117821710479,535,0.00242142805416757,220944
"16","Jefferson",7319,0.296820504501582,92,0.0037310406358991,24658
"17","Josephine",16627,0.190051093305291,339,0.00387486140798061,87487
"18","Klamath",14285,0.20934083648407,222,0.0032533192649257,68238
"19","Lake",1429,0.181598678358114,29,0.0036853475663998,7869
"20","Lane",59853,0.156655769799538,541,0.00141598201362588,382067
"21","Lincoln",7223,0.144569873103559,85,0.00170129298266683,49962
"22","Linn",27257,0.210074836800284,268,0.00206552651658202,129749
"23","Malheur",8251,0.269896306957574,108,0.003532759805044,30571
"24","Marion",70744,0.203393728904197,721,0.00207292319546429,347818
"25","Morrow",2980,0.256830130138757,34,0.00293027665258985,11603
"26","Multnomah",123906,0.152433090772647,1207,0.00148488967897103,812855
"27","Polk",15778,0.183283963524424,134,0.00155660103386188,86085
"28","Sherman",321,0.180337078651685,6,0.00337078651685393,1780
"29","Tillamook",3827,0.141552004734428,64,0.00236721408492381,27036
"30","Umatilla",22545,0.289223861449647,225,0.00288646568313021,77950
"31","Union",5068,0.188857834917086,80,0.00298118129308739,26835
"32","Wallowa",1267,0.175776914539401,16,0.00221975582685905,7208
"33","Wasco",5218,0.195562551532869,63,0.00236114234315269,26682
"34","Washington",91092,0.15141823694464,594,0.0009873801513318,601592
"35","Wheeler",246,0.184684684684685,3,0.00225225225225225,1332
"36","Yamhill",18265,0.170541549953315,222,0.00207282913165266,107100
